PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30419289","Intrinsic functional clustering of anterior cingulate cortex in the common marmoset","Schaeffer DJ, Gilbert KM, Ghahremani M, Gati JS, Menon RS, Everling S.","Neuroimage. 2019 Feb 1;186:301-307. doi: 10.1016/j.neuroimage.2018.11.005. Epub 2018 Nov 10.","Schaeffer DJ","Neuroimage","2019","2018/11/13","","","10.1016/j.neuroimage.2018.11.005"
"30355629","Functional MRI in Macaque Monkeys during Task Switching","Premereur E, Janssen P, Vanduffel W.","J Neurosci. 2018 Dec 12;38(50):10619-10630. doi: 10.1523/JNEUROSCI.1539-18.2018. Epub 2018 Oct 24.","Premereur E","J Neurosci","2018","2018/10/26","PMC6580658","","10.1523/JNEUROSCI.1539-18.2018"
"29766827","Pain-Related Behavior and Brain Activation in a Cynomolgus Macaque Model of Postoperative Pain","Hama A, Natsume T, Ogawa SY, Awaga Y, Hayashi I, Matsuda A, Takamatsu H.","CNS Neurol Disord Drug Targets. 2018;17(5):348-360. doi: 10.2174/1871527317666180515121350.","Hama A","CNS Neurol Disord Drug Targets","2018","2018/05/17","","","10.2174/1871527317666180515121350"
"29666567","The Neural Correlates of Grasping in Left-Handers: When Handedness Does Not Matter","Begliomini C, Sartori L, Di Bono MG, Budisavljević S, Castiello U.","Front Neurosci. 2018 Apr 3;12:192. doi: 10.3389/fnins.2018.00192. eCollection 2018.","Begliomini C","Front Neurosci","2018","2018/04/19","PMC5891894","","10.3389/fnins.2018.00192"
"29618564","Postnatal Zika virus infection is associated with persistent abnormalities in brain structure, function, and behavior in infant macaques","Mavigner M, Raper J, Kovacs-Balint Z, Gumber S, O'Neal JT, Bhaumik SK, Zhang X, Habib J, Mattingly C, McDonald CE, Avanzato V, Burke MW, Magnani DM, Bailey VK, Watkins DI, Vanderford TH, Fair D, Earl E, Feczko E, Styner M, Jean SM, Cohen JK, Silvestri G, Johnson RP, O'Connor DH, Wrammert J, Suthar MS, Sanchez MM, Alvarado MC, Chahroudi A.","Sci Transl Med. 2018 Apr 4;10(435):eaao6975. doi: 10.1126/scitranslmed.aao6975.","Mavigner M","Sci Transl Med","2018","2018/04/06","PMC6186170","NIHMS990959","10.1126/scitranslmed.aao6975"
"29192186","Inverted activity patterns in ventromedial prefrontal cortex during value-guided decision-making in a less-is-more task","Papageorgiou GK, Sallet J, Wittmann MK, Chau BKH, Schüffelgen U, Buckley MJ, Rushworth MFS.","Nat Commun. 2017 Dec 1;8(1):1886. doi: 10.1038/s41467-017-01833-5.","Papageorgiou GK","Nat Commun","2017","2017/12/02","PMC5709383","","10.1038/s41467-017-01833-5"
"28842187","Connectome-scale functional intrinsic connectivity networks in macaques","Zhang W, Jiang X, Zhang S, Howell BR, Zhao Y, Zhang T, Guo L, Sanchez MM, Hu X, Liu T.","Neuroscience. 2017 Nov 19;364:1-14. doi: 10.1016/j.neuroscience.2017.08.022. Epub 2017 Aug 24.","Zhang W","Neuroscience","2017","2017/08/27","PMC5653451","NIHMS901360","10.1016/j.neuroscience.2017.08.022"
"28802806","Comparing Parietal Quantity-Processing Mechanisms between Humans and Macaques","Harvey BM, Ferri S, Orban GA.","Trends Cogn Sci. 2017 Oct;21(10):779-793. doi: 10.1016/j.tics.2017.07.002. Epub 2017 Aug 9.","Harvey BM","Trends Cogn Sci","2017","2017/08/14","","","10.1016/j.tics.2017.07.002"
"28655928","Brain activity changes in a macaque model of oxaliplatin-induced neuropathic cold hypersensitivity","Nagasaka K, Yamanaka K, Ogawa S, Takamatsu H, Higo N.","Sci Rep. 2017 Jun 27;7(1):4305. doi: 10.1038/s41598-017-04677-7.","Nagasaka K","Sci Rep","2017","2017/06/29","PMC5487329","","10.1038/s41598-017-04677-7"
"28629540","Kinetics and Dose Dependency of Intranasal Oxytocin Effects on Amygdala Reactivity","Spengler FB, Schultz J, Scheele D, Essel M, Maier W, Heinrichs M, Hurlemann R.","Biol Psychiatry. 2017 Dec 15;82(12):885-894. doi: 10.1016/j.biopsych.2017.04.015. Epub 2017 May 10.","Spengler FB","Biol Psychiatry","2017","2017/06/21","","","10.1016/j.biopsych.2017.04.015"
