PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32758424","Selective Mesoaccumbal Pathway Inactivation Affects Motivation but Not Reinforcement-Based Learning in Macaques","Vancraeyenest P, Arsenault JT, Li X, Zhu Q, Kobayashi K, Isa K, Isa T, Vanduffel W.","Neuron. 2020 Nov 11;108(3):568-581.e6. doi: 10.1016/j.neuron.2020.07.013. Epub 2020 Aug 5.","Vancraeyenest P","Neuron","2020","2020/08/08","","","10.1016/j.neuron.2020.07.013"
"32724052","Global reward state affects learning and activity in raphe nucleus and anterior insula in monkeys","Wittmann MK, Fouragnan E, Folloni D, Klein-Flügge MC, Chau BKH, Khamassi M, Rushworth MFS.","Nat Commun. 2020 Jul 28;11(1):3771. doi: 10.1038/s41467-020-17343-w.","Wittmann MK","Nat Commun","2020","2020/07/30","PMC7387352","","10.1038/s41467-020-17343-w"
"32366956","Rapid event-related, BOLD fMRI, non-human primates (NHP): choose two out of three","Pelekanos V, Mok RM, Joly O, Ainsworth M, Kyriazis D, Kelly MG, Bell AH, Kriegeskorte N.","Sci Rep. 2020 May 4;10(1):7485. doi: 10.1038/s41598-020-64376-8.","Pelekanos V","Sci Rep","2020","2020/05/06","PMC7198564","","10.1038/s41598-020-64376-8"
"32279076","Frequency- and State-Dependent Network Effects of Electrical Stimulation Targeting the Ventral Tegmental Area in Macaques","Murris SR, Arsenault JT, Vanduffel W.","Cereb Cortex. 2020 Jun 30;30(8):4281-4296. doi: 10.1093/cercor/bhaa007.","Murris SR","Cereb Cortex","2020","2020/04/13","PMC7325806","","10.1093/cercor/bhaa007"
"32269107","MECP2 Duplication Causes Aberrant GABA Pathways, Circuits and Behaviors in Transgenic Monkeys: Neural Mappings to Patients with Autism","Cai DC, Wang Z, Bo T, Yan S, Liu Y, Liu Z, Zeljic K, Chen X, Zhan Y, Xu X, Du Y, Wang Y, Cang J, Wang GZ, Zhang J, Sun Q, Qiu Z, Ge S, Ye Z, Wang Z.","J Neurosci. 2020 May 6;40(19):3799-3814. doi: 10.1523/JNEUROSCI.2727-19.2020. Epub 2020 Apr 8.","Cai DC","J Neurosci","2020","2020/04/10","PMC7204082","","10.1523/JNEUROSCI.2727-19.2020"
"32227117","Stereomotion Processing in the Nonhuman Primate Brain","Héjja-Brichard Y, Rima S, Rapha E, Durand JB, Cottereau BR.","Cereb Cortex. 2020 Jun 30;30(8):4528-4543. doi: 10.1093/cercor/bhaa055.","Héjja-Brichard Y","Cereb Cortex","2020","2020/04/01","","","10.1093/cercor/bhaa055"
"31813653","A Basal Forebrain-Cingulate Circuit in Macaques Decides It Is Time to Act","Khalighinejad N, Bongioanni A, Verhagen L, Folloni D, Attali D, Aubry JF, Sallet J, Rushworth MFS.","Neuron. 2020 Jan 22;105(2):370-384.e8. doi: 10.1016/j.neuron.2019.10.030. Epub 2019 Dec 5.","Khalighinejad N","Neuron","2020","2019/12/10","PMC6975166","","10.1016/j.neuron.2019.10.030"
"31753062","Pharmacologic Modulation of Noxious Stimulus-evoked Brain Activation in Cynomolgus Macaques Observed with Functional Neuroimaging","Shirai T, Yano M, Natsume T, Awaga Y, Itani Y, Hama A, Matsuda A, Takamatsu H.","J Am Assoc Lab Anim Sci. 2020 Jan 1;59(1):94-103. doi: 10.30802/AALAS-JAALAS-18-000143. Epub 2019 Nov 21.","Shirai T","J Am Assoc Lab Anim Sci","2020","2019/11/23","PMC6978571","","10.30802/AALAS-JAALAS-18-000143"
"31743789","Pypreclin: An automatic pipeline for macaque functional MRI preprocessing","Tasserie J, Grigis A, Uhrig L, Dupont M, Amadon A, Jarraya B.","Neuroimage. 2020 Feb 15;207:116353. doi: 10.1016/j.neuroimage.2019.116353. Epub 2019 Nov 16.","Tasserie J","Neuroimage","2020","2019/11/20","","","10.1016/j.neuroimage.2019.116353"
"31732670","Body map proto-organization in newborn macaques","Arcaro MJ, Schade PF, Livingstone MS.","Proc Natl Acad Sci U S A. 2019 Dec 3;116(49):24861-24871. doi: 10.1073/pnas.1912636116. Epub 2019 Nov 15.","Arcaro MJ","Proc Natl Acad Sci U S A","2019","2019/11/17","PMC6900594","","10.1073/pnas.1912636116"
