PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22178134","Mapping the central effects of chronic ketamine administration in an adolescent primate model by functional magnetic resonance imaging (fMRI)","Yu H, Li Q, Wang D, Shi L, Lu G, Sun L, Wang L, Zhu W, Mak YT, Wong N, Wang Y, Pan F, Yew DT.","Neurotoxicology. 2012 Jan;33(1):70-7. doi: 10.1016/j.neuro.2011.11.001. Epub 2011 Dec 2.","Yu H","Neurotoxicology","2012","2011/12/20","","","10.1016/j.neuro.2011.11.001"
"22158821","Perceptual learning incepted by decoded fMRI neurofeedback without stimulus presentation","Shibata K, Watanabe T, Sasaki Y, Kawato M.","Science. 2011 Dec 9;334(6061):1413-5. doi: 10.1126/science.1212003.","Shibata K","Science","2011","2011/12/14","PMC3297423","NIHMS359501","10.1126/science.1212003"
"22114283","Decoding effector-dependent and effector-independent movement intentions from human parieto-frontal brain activity","Gallivan JP, McLean DA, Smith FW, Culham JC.","J Neurosci. 2011 Nov 23;31(47):17149-68. doi: 10.1523/JNEUROSCI.1058-11.2011.","Gallivan JP","J Neurosci","2011","2011/11/25","PMC6623835","","10.1523/JNEUROSCI.1058-11.2011"
"22081989","Stimulus-induced dissociation of neuronal firing rates and local field potential gamma power and its relationship to the resonance blood oxygen level-dependent signal in macaque primary visual cortex","Bartolo MJ, Gieselmann MA, Vuksanovic V, Hunter D, Sun L, Chen X, Delicato LS, Thiele A.","Eur J Neurosci. 2011 Dec;34(11):1857-70. doi: 10.1111/j.1460-9568.2011.07877.x. Epub 2011 Nov 14.","Bartolo MJ","Eur J Neurosci","2011","2011/11/16","PMC3274700","","10.1111/j.1460-9568.2011.07877.x"
"21843550","Multimodal vessel mapping for precise large area alignment of functional optical imaging data to neuroanatomical preparations in marmosets","Valverde Salzmann MF, Wallace DJ, Logothetis NK, Schüz A.","J Neurosci Methods. 2011 Sep 30;201(1):159-72. doi: 10.1016/j.jneumeth.2011.07.029. Epub 2011 Aug 6.","Valverde Salzmann MF","J Neurosci Methods","2011","2011/08/17","","","10.1016/j.jneumeth.2011.07.029"
"21835625","Voice cells in the primate temporal lobe","Perrodin C, Kayser C, Logothetis NK, Petkov CI.","Curr Biol. 2011 Aug 23;21(16):1408-15. doi: 10.1016/j.cub.2011.07.028. Epub 2011 Aug 11.","Perrodin C","Curr Biol","2011","2011/08/13","PMC3398143","UKMS49151","10.1016/j.cub.2011.07.028"
"21687796","Faces and eyes in human lateral prefrontal cortex","Chan AW, Downing PE.","Front Hum Neurosci. 2011 Jun 2;5:51. doi: 10.3389/fnhum.2011.00051. eCollection 2011.","Chan AW","Front Hum Neurosci","2011","2011/06/21","PMC3108382","","10.3389/fnhum.2011.00051"
"21521619","fMRI of the face-processing network in the ventral temporal lobe of awake and anesthetized macaques","Ku SP, Tolias AS, Logothetis NK, Goense J.","Neuron. 2011 Apr 28;70(2):352-62. doi: 10.1016/j.neuron.2011.02.048.","Ku SP","Neuron","2011","2011/04/28","","","10.1016/j.neuron.2011.02.048"
"21503649","Investigating human audio-visual object perception with a combination of hypothesis-generating and hypothesis-testing fMRI analysis tools","Naumer MJ, van den Bosch JJ, Wibral M, Kohler A, Singer W, Kaiser J, van de Ven V, Muckli L.","Exp Brain Res. 2011 Sep;213(2-3):309-20. doi: 10.1007/s00221-011-2669-0. Epub 2011 Apr 19.","Naumer MJ","Exp Brain Res","2011","2011/04/20","PMC3155044","","10.1007/s00221-011-2669-0"
"21317354","Nonhuman primate positron emission tomography neuroimaging in drug abuse research","Howell LL, Murnane KS.","J Pharmacol Exp Ther. 2011 May;337(2):324-34. doi: 10.1124/jpet.108.136689. Epub 2011 Feb 11.","Howell LL","J Pharmacol Exp Ther","2011","2011/02/15","PMC3083112","","10.1124/jpet.108.136689"
"23382152","Workshop summary: neotropical primates in biomedical research","Tardif SD, Abee CR, Mansfield KG.","ILAR J. 2011;52(3):386-92. doi: 10.1093/ilar.52.3.386.","Tardif SD","ILAR J","2011","2013/02/06","","","10.1093/ilar.52.3.386"
"21177033","High-resolution functional magnetic resonance imaging mapping of noxious heat and tactile activations along the central sulcus in New World monkeys","Chen LM, Dillenburger BC, Wang F, Friedman RM, Avison MJ.","Pain. 2011 Mar;152(3):522-532. doi: 10.1016/j.pain.2010.10.048. Epub 2010 Dec 21.","Chen LM","Pain","2011","2010/12/24","PMC3039029","NIHMS251579","10.1016/j.pain.2010.10.048"
"21170073","Emerging concepts for the dynamical organization of resting-state activity in the brain","Deco G, Jirsa VK, McIntosh AR.","Nat Rev Neurosci. 2011 Jan;12(1):43-56. doi: 10.1038/nrn2961.","Deco G","Nat Rev Neurosci","2011","2010/12/21","","","10.1038/nrn2961"
"21160558","Functional properties of human auditory cortical fields","Woods DL, Herron TJ, Cate AD, Yund EW, Stecker GC, Rinne T, Kang X.","Front Syst Neurosci. 2010 Dec 3;4:155. doi: 10.3389/fnsys.2010.00155. eCollection 2010.","Woods DL","Front Syst Neurosci","2010","2010/12/17","PMC3001989","","10.3389/fnsys.2010.00155"
"21148091","Integration of visual and tactile signals from the hand in the human brain: an FMRI study","Gentile G, Petkova VI, Ehrsson HH.","J Neurophysiol. 2011 Feb;105(2):910-22. doi: 10.1152/jn.00840.2010. Epub 2010 Dec 8.","Gentile G","J Neurophysiol","2011","2010/12/15","PMC3059180","","10.1152/jn.00840.2010"
"20965262","Where sound position influences sound object representations: a 7-T fMRI study","van der Zwaag W, Gentile G, Gruetter R, Spierer L, Clarke S.","Neuroimage. 2011 Feb 1;54(3):1803-11. doi: 10.1016/j.neuroimage.2010.10.032. Epub 2010 Oct 18.","van der Zwaag W","Neuroimage","2011","2010/10/23","","","10.1016/j.neuroimage.2010.10.032"
"20921203","Multisensory space: from eye-movements to self-motion","Bremmer F.","J Physiol. 2011 Feb 15;589(Pt 4):815-23. doi: 10.1113/jphysiol.2010.195537. Epub 2010 Oct 4.","Bremmer F","J Physiol","2011","2010/10/06","PMC3060361","","10.1113/jphysiol.2010.195537"
"20732744","Bilateral activation of the trigeminothalamic tract by acute orofacial cutaneous and muscle pain in humans","Nash PG, Macefield VG, Klineberg IJ, Gustin SM, Murray GM, Henderson LA.","Pain. 2010 Nov;151(2):384-393. doi: 10.1016/j.pain.2010.07.027. Epub 2010 Aug 21.","Nash PG","Pain","2010","2010/08/25","","","10.1016/j.pain.2010.07.027"
"20566353","Development of an apparatus and methodology for conducting functional magnetic resonance imaging (fMRI) with pharmacological stimuli in conscious rhesus monkeys","Murnane KS, Howell LL.","J Neurosci Methods. 2010 Aug 15;191(1):11-20. doi: 10.1016/j.jneumeth.2010.06.001. Epub 2010 Jun 8.","Murnane KS","J Neurosci Methods","2010","2010/06/23","PMC2915932","NIHMS222796","10.1016/j.jneumeth.2010.06.001"
