PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26170314","Functional evolution of new and expanded attention networks in humans","Patel GH, Yang D, Jamerson EC, Snyder LH, Corbetta M, Ferrera VP.","Proc Natl Acad Sci U S A. 2015 Jul 28;112(30):9454-9. doi: 10.1073/pnas.1420395112. Epub 2015 Jul 13.","Patel GH","Proc Natl Acad Sci U S A","2015","2015/07/15","PMC4522817","","10.1073/pnas.1420395112"
"26149609","Functional MRI of visual responses in the awake, behaving marmoset","Hung CC, Yen CC, Ciuchta JL, Papoti D, Bock NA, Leopold DA, Silva AC.","Neuroimage. 2015 Oct 15;120:1-11. doi: 10.1016/j.neuroimage.2015.06.090. Epub 2015 Jul 3.","Hung CC","Neuroimage","2015","2015/07/08","PMC4589494","NIHMS711899","10.1016/j.neuroimage.2015.06.090"
"26066653","The Travelling-Wave Primate System: A New Solution for Magnetic Resonance Imaging of Macaque Monkeys at 7 Tesla Ultra-High Field","Herrmann T, Mallow J, Plaumann M, Luchtmann M, Stadler J, Mylius J, Brosch M, Bernarding J.","PLoS One. 2015 Jun 11;10(6):e0129371. doi: 10.1371/journal.pone.0129371. eCollection 2015.","Herrmann T","PLoS One","2015","2015/06/13","PMC4466239","","10.1371/journal.pone.0129371"
"25855174","Network structure shapes spontaneous functional connectivity dynamics","Shen K, Hutchison RM, Bezgin G, Everling S, McIntosh AR.","J Neurosci. 2015 Apr 8;35(14):5579-88. doi: 10.1523/JNEUROSCI.4903-14.2015.","Shen K","J Neurosci","2015","2015/04/10","PMC6605321","","10.1523/JNEUROSCI.4903-14.2015"
"25579448","Functional MRI mapping of dynamic visual features during natural viewing in the macaque","Russ BE, Leopold DA.","Neuroimage. 2015 Apr 1;109:84-94. doi: 10.1016/j.neuroimage.2015.01.012. Epub 2015 Jan 9.","Russ BE","Neuroimage","2015","2015/01/13","PMC4339453","NIHMS657362","10.1016/j.neuroimage.2015.01.012"
"25535356","Natural asynchronies in audiovisual communication signals regulate neuronal multisensory interactions in voice-sensitive cortex","Perrodin C, Kayser C, Logothetis NK, Petkov CI.","Proc Natl Acad Sci U S A. 2015 Jan 6;112(1):273-8. doi: 10.1073/pnas.1412817112. Epub 2014 Dec 22.","Perrodin C","Proc Natl Acad Sci U S A","2015","2014/12/24","PMC4291635","","10.1073/pnas.1412817112"
"25520434","The effect of face inversion for neurons inside and outside fMRI-defined face-selective cortical regions","Taubert J, Van Belle G, Vanduffel W, Rossion B, Vogels R.","J Neurophysiol. 2015 Mar 1;113(5):1644-55. doi: 10.1152/jn.00700.2014. Epub 2014 Dec 17.","Taubert J","J Neurophysiol","2015","2014/12/19","PMC4346728","","10.1152/jn.00700.2014"
"25180883","A neural circuit covarying with social hierarchy in macaques","Noonan MP, Sallet J, Mars RB, Neubert FX, O'Reilly JX, Andersson JL, Mitchell AS, Bell AH, Miller KL, Rushworth MF.","PLoS Biol. 2014 Sep 2;12(9):e1001940. doi: 10.1371/journal.pbio.1001940. eCollection 2014 Sep.","Noonan MP","PLoS Biol","2014","2014/09/03","PMC4151964","","10.1371/journal.pbio.1001940"
"25044934","Isoflurane induces dose-dependent alterations in the cortical connectivity profiles and dynamic properties of the brain's functional architecture","Hutchison RM, Hutchison M, Manning KY, Menon RS, Everling S.","Hum Brain Mapp. 2014 Dec;35(12):5754-75. doi: 10.1002/hbm.22583. Epub 2014 Jul 12.","Hutchison RM","Hum Brain Mapp","2014","2014/07/22","PMC6869297","","10.1002/hbm.22583"
"24244892","Quantitative MRI Measures in SIV-Infected Macaque Brains","Zhang X, Li C.","J Clin Cell Immunol. 2013;Suppl 7:005. doi: 10.4172/2155-9899.S7-005.","Zhang X","J Clin Cell Immunol","2013","2013/11/19","PMC3826881","NIHMS452246","10.4172/2155-9899.S7-005"
"23884933","The organization of dorsal frontal cortex in humans and macaques","Sallet J, Mars RB, Noonan MP, Neubert FX, Jbabdi S, O'Reilly JX, Filippini N, Thomas AG, Rushworth MF.","J Neurosci. 2013 Jul 24;33(30):12255-74. doi: 10.1523/JNEUROSCI.5108-12.2013.","Sallet J","J Neurosci","2013","2013/07/26","PMC3744647","","10.1523/JNEUROSCI.5108-12.2013"
"23773004","A method for conducting functional MRI studies in alert nonhuman primates: initial results with opioid agonists in male cynomolgus monkeys","Kaufman MJ, Janes AC, Frederick Bd, Brimson-Théberge M, Tong Y, McWilliams SB, Bear A, Gillis TE, Schrode KM, Renshaw PF, Negus SS.","Exp Clin Psychopharmacol. 2013 Aug;21(4):323-31. doi: 10.1037/a0033062. Epub 2013 Jun 17.","Kaufman MJ","Exp Clin Psychopharmacol","2013","2013/06/19","PMC3916219","NIHMS546580","10.1037/a0033062"
